"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS104_1A,N,2,0","PS104_1M,N,2,0","PS104_1S,N,1,0","PS5,N,1,0"
2019,      051807501,2,518,75,1,15,4,2,1
2019,      051901101,2,519,11,1,19,0,2,1
2019,      051901201,1,519,12,1,19,11,2,1
2019,      051901301,1,519,13,1,19,0,2,1
2019,      051901401,2,519,14,1,13,0,2,1
2019,      051908301,2,519,83,1,1,11,2,1
2019,      051908701,2,519,87,1,4,0,2,1
2019,      052102301,1,521,23,1,1,3,2,1
2019,      052611801,1,526,118,1,2,0,1,1
2019,      052611801,2,526,118,1,2,0,2,2
2019,      055309101,2,553,91,1,3,0,2,1
2019,      055504901,1,555,49,1,3,0,2,1
2019,      055505901,2,555,59,1,1,0,2,1
2019,      059405601,1,594,56,1,0,9,1,1
2019,      059405601,2,594,56,1,0,9,1,2
2019,      059405601,3,594,56,1,0,9,1,3
2019,      059405601,5,594,56,1,0,9,2,4
2019,      064012201,3,640,122,1,2,0,2,1
2019,      075300801,2,753,8,1,1,0,2,1
2019,      075300901,1,753,9,1,0,3,2,1
2019,      075306901,1,753,69,1,1,0,2,1
2019,      075613901,1,756,139,1,15,0,2,1
2019,      075700201,2,757,2,1,10,0,2,1
2019,      075700401,2,757,4,1,4,0,2,1
2019,      075704801,2,757,48,1,5,0,2,1
2019,      075704901,2,757,49,1,1,0,2,1
2019,      075705001,2,757,50,1,5,0,2,1
2019,      075705201,2,757,52,1,5,0,2,1
2019,      075705301,1,757,53,1,1,0,2,1
2019,      075804101,2,758,41,1,8,0,2,1
2019,      075804201,2,758,42,1,2,0,2,1
2019,      075804301,2,758,43,1,6,0,2,1
2019,      075804501,2,758,45,1,0,8,2,1
2019,      075805001,1,758,50,1,2,0,2,1
2019,      078004201,2,780,42,1,0,5,2,1
2019,      078720402,1,787,204,2,1,2,1,1
2019,      078720402,2,787,204,2,1,2,1,2
2019,      078720402,3,787,204,2,1,2,1,3
2019,      078720402,4,787,204,2,1,2,2,4
2019,      079110401,2,791,104,1,5,0,2,1
2019,      080701201,1,807,12,1,19,0,1,1
2019,      080701201,2,807,12,1,2,0,1,2
2019,      080701201,3,807,12,1,0,6,2,3
2019,      081702101,2,817,21,1,10,0,2,1
2019,      081702301,2,817,23,1,4,0,1,1
2019,      081702301,3,817,23,1,3,6,2,2
2019,      081702501,1,817,25,1,10,0,1,1
2019,      081702501,2,817,25,1,10,0,1,2
2019,      081702501,3,817,25,1,10,0,1,3
2019,      081702501,4,817,25,1,10,0,1,4
2019,      081702501,5,817,25,1,9,0,1,5
2019,      081702501,6,817,25,1,4,5,1,6
2019,      081702501,7,817,25,1,1,6,2,7
2019,      085600301,1,856,3,1,4,0,2,1
2019,      085705501,1,857,55,1,19,0,2,1
2019,      085811201,2,858,112,1,2,0,2,1
2019,      086900601,1,869,6,1,19,0,2,1
2019,      089303201,2,893,32,1,4,0,2,1
2019,      090201101,1,902,11,1,19,0,2,1
2019,      090504001,1,905,40,1,2,2,1,1
2019,      090504001,2,905,40,1,2,2,1,2
2019,      090504001,3,905,40,1,2,2,1,3
2019,      090504001,4,905,40,1,2,2,1,4
2019,      090504001,5,905,40,1,2,2,2,5
2019,      090608101,4,906,81,1,2,0,2,1
2019,      091112501,2,911,125,1,10,2,1,1
2019,      091112501,3,911,125,1,6,2,1,2
2019,      091112501,4,911,125,1,2,2,1,3
2019,      091112501,5,911,125,1,10,2,2,4
2019,      095207001,3,952,70,1,7,1,2,1
2019,      096225601,2,962,256,1,14,3,1,1
2019,      096225601,4,962,256,1,10,3,2,2
2019,      096303101,1,963,31,1,19,0,1,1
2019,      096303101,2,963,31,1,15,0,1,2
2019,      096303101,3,963,31,1,10,0,1,3
2019,      096303101,4,963,31,1,19,0,1,4
2019,      096303101,5,963,31,1,19,0,1,5
2019,      096303101,6,963,31,1,19,0,2,6
2019,      096616901,1,966,169,1,12,0,2,1
